국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률
스리랑카,관광,2012,12,4,겨울,0,96,4.969813299576001,5.799092654460526,5.8944028342648505,4.465908118654584,5.594711379601839,5.575949103146316,66.27906976744185
스리랑카,관광,2013,1,1,겨울,0,97,4.955827057601261,4.969813299576001,5.808142489980444,4.941642422609304,5.32463467486541,5.576580217083326,1.4388489208633095
스리랑카,관광,2013,2,1,겨울,0,98,5.236441962829949,4.955827057601261,5.799092654460526,4.962844630259907,5.062595033026967,5.59067598688372,31.690140845070424
스리랑카,관광,2013,3,1,봄,0,99,5.564520407322694,5.236441962829949,4.969813299576001,5.087596335232384,5.2832037287379885,5.621004548198508,61.49068322981367
스리랑카,관광,2013,4,2,봄,0,100,5.389071729816501,5.564520407322694,4.955827057601261,5.849324779946859,5.405675884868536,5.581614840681993,-36.99421965317919
스리랑카,관광,2013,5,2,봄,0,101,5.627621113690637,5.389071729816501,5.236441962829949,5.365976015021851,5.532071096974262,5.601503625535782,30.046948356807512
스리랑카,관광,2013,6,2,여름,0,102,5.579729825986222,5.627621113690637,5.564520407322694,6.483107351457199,5.537334267018537,5.47401984326211,-59.57120980091884
스리랑카,관광,2013,7,3,여름,0,103,5.375278407684165,5.579729825986222,5.389071729816501,4.890349128221754,5.53338948872752,5.502617830060767,62.878787878787875
스리랑카,관광,2013,8,3,여름,0,104,5.680172609017068,5.375278407684165,5.627621113690637,5.3230099791384085,5.552959584921617,5.532071096974262,43.13725490196079
스리랑카,관광,2013,9,3,가을,0,105,5.68697535633982,5.680172609017068,5.579729825986222,5.8944028342648505,5.5909869805108565,5.5093883366279774,-18.784530386740332
스리랑카,관광,2013,10,4,가을,0,106,6.0473721790462776,5.68697535633982,5.375278407684165,5.808142489980444,5.820082930352362,5.539300835990577,27.10843373493976
스리랑카,관광,2013,11,4,가을,0,107,5.717027701406222,6.0473721790462776,5.680172609017068,5.799092654460526,5.83090448209554,5.530750964769339,-7.90273556231003
스리랑카,관광,2013,12,4,겨울,0,108,5.003946305945459,5.717027701406222,5.68697535633982,4.969813299576001,5.676753802268282,5.532400857900581,3.4965034965034967
스리랑카,관광,2014,1,1,겨울,0,109,4.955827057601261,5.003946305945459,6.0473721790462776,4.955827057601261,5.28994911687752,5.532400857900581,0.0
스리랑카,관광,2014,2,1,겨울,0,110,5.0369526024136295,4.955827057601261,5.717027701406222,5.236441962829949,4.99946199349813,5.521127528961009,-18.181818181818183
스리랑카,관광,2014,3,1,봄,0,111,4.8283137373023015,5.0369526024136295,5.003946305945459,5.564520407322694,4.944020545014272,5.474718655310115,-52.307692307692314
스리랑카,관광,2014,4,2,봄,0,112,5.676753802268282,4.8283137373023015,4.955827057601261,5.389071729816501,5.2487769209879005,5.499896739946406,33.48623853211009
스리랑카,관광,2014,5,2,봄,0,113,5.342334251964811,5.676753802268282,5.0369526024136295,5.627621113690637,5.340738082431989,5.47611481609537,-24.90974729241877
스리랑카,관광,2014,6,2,여름,0,114,5.598421958998375,5.342334251964811,4.8283137373023015,5.579729825986222,5.54907608489522,5.477857280380115,1.893939393939394
스리랑카,관광,2014,7,3,여름,0,115,5.666426688112432,5.598421958998375,5.676753802268282,5.375278407684165,5.545177444479562,5.502957446297687,33.95348837209302
스리랑카,관광,2014,8,3,여름,0,116,5.5053315359323625,5.666426688112432,5.342334251964811,5.680172609017068,5.592229988750454,5.486869473092628,-16.095890410958905
스리랑카,관광,2014,9,3,가을,0,117,6.131226489483141,5.5053315359323625,5.598421958998375,5.68697535633982,5.804130448490483,5.5422434570447745,56.12244897959183
스리랑카,관광,2014,10,4,가을,0,118,6.07993319509559,6.131226489483141,5.666426688112432,6.0473721790462776,5.942799375126701,5.546803725534041,3.3175355450236967
스리랑카,관광,2014,11,4,가을,0,119,5.407171771460119,6.07993319509559,5.5053315359323625,5.717027701406222,5.92247167562103,5.52012669484911,-26.732673267326735
스리랑카,관광,2014,12,4,겨울,0,120,4.90527477843843,5.407171771460119,6.131226489483141,5.003946305945459,5.579729825986222,5.5154428455366835,-9.45945945945946
스리랑카,관광,2015,1,1,겨울,0,121,4.795790545596741,4.90527477843843,6.07993319509559,4.955827057601261,5.073088308742806,5.508375678313591,-14.893617021276595
스리랑카,관광,2015,2,1,겨울,0,122,4.90527477843843,4.795790545596741,5.407171771460119,5.0369526024136295,4.870095271317256,5.5019382513733825,-12.418300653594772
스리랑카,관광,2015,3,1,봄,0,123,5.375278407684165,4.90527477843843,4.90527477843843,4.8283137373023015,5.058366696917446,5.532400857900581,73.38709677419355
스리랑카,관광,2015,4,2,봄,0,124,5.627621113690637,5.375278407684165,4.795790545596741,5.676753802268282,5.345518968032331,5.527774279918838,-4.810996563573884
스리랑카,관광,2015,5,2,봄,0,125,5.627621113690637,5.627621113690637,4.90527477843843,5.342334251964811,5.550372261356666,5.550372261356666,33.17307692307692
스리랑카,관광,2015,6,2,여름,0,126,5.313205979041787,5.627621113690637,5.375278407684165,5.598421958998375,5.53338948872752,5.528436531598672,-24.907063197026023
