국적,목적,data_size,mean,std,min,max,zero_count,zero_ratio,cv,quality_grade,problem_type
스위스,유학연수,245,19.016326530612243,25.823957511045535,0,144,9,3.6734693877551026,1.3579887508491428,좋음,정상
스페인,공용,245,7.63265306122449,4.798795432663287,0,26,7,2.857142857142857,0.6287191877018744,좋음,정상
스페인,관광,245,1238.1142857142856,1023.1000600072726,1,6386,0,0.0,0.8263373355853266,좋음,정상
스페인,상용,245,16.3265306122449,8.793598069753854,1,43,0,0.0,0.5386078817724235,좋음,정상
스페인,유학연수,245,48.60408163265306,68.3368763684483,0,398,4,1.6326530612244898,1.4059904862504058,좋음,정상
싱가포르,공용,245,5.375510204081633,6.188120911460479,0,40,21,8.571428571428571,1.1511690381987982,좋음,정상
싱가포르,관광,245,12260.448979591836,10889.59245925846,1,59721,0,0.0,0.8881887178344579,좋음,정상
싱가포르,상용,245,122.78367346938775,76.89117108854795,5,471,0,0.0,0.6262328607371268,좋음,정상
싱가포르,유학연수,245,53.84897959183674,86.72486672921673,0,590,8,3.2653061224489797,1.6105201507358522,좋음,정상
아르헨티나,공용,245,1.073469387755102,2.3212114832741197,0,19,145,59.183673469387756,2.16234529810707,매우나쁨,높은_0값_비율
아르헨티나,관광,245,214.20408163265307,155.41090162510395,0,1005,7,2.857142857142857,0.7255272655897573,좋음,정상
아르헨티나,상용,245,3.3755102040816327,2.4921623546108935,0,12,26,10.612244897959183,0.7383068644252344,좋음,정상
아르헨티나,유학연수,245,3.779591836734694,6.52426051308162,0,48,70,28.57142857142857,1.7261812372624157,좋음,정상
에콰도르,공용,245,1.7591836734693878,4.878352918735212,0,52,133,54.285714285714285,2.773077645220712,매우나쁨,높은_0값_비율
에콰도르,관광,245,74.90612244897959,67.62301604060238,0,373,11,4.489795918367347,0.9027702119631421,좋음,정상
에콰도르,상용,245,0.7755102040816326,1.597453225699297,0,16,159,64.89795918367346,2.059873896296462,매우나쁨,높은_0값_비율
에콰도르,유학연수,245,7.412244897959184,11.590584658534892,0,66,52,21.224489795918366,1.563707732015996,좋음,정상
영국,공용,245,10.869387755102041,8.946063427738936,0,56,6,2.4489795918367347,0.823051272923785,좋음,정상
영국,관광,245,6672.085714285714,3379.0698965209003,109,22876,0,0.0,0.5064488139422306,좋음,정상
영국,상용,245,276.9714285714286,193.05491446736082,5,1012,0,0.0,0.6970210446005393,좋음,정상
영국,유학연수,245,32.31428571428572,49.76991322370456,0,323,6,2.4489795918367347,1.5401829910076565,좋음,정상
오스트레일리아,공용,245,33.83265306122449,22.75098077290604,0,126,5,2.0408163265306123,0.6724563022514151,좋음,정상
오스트레일리아,관광,245,8474.889795918367,5334.492366043752,20,34320,0,0.0,0.6294468122302809,좋음,정상
오스트레일리아,상용,245,271.83673469387753,182.4566360943549,0,872,1,0.40816326530612246,0.671199336983738,좋음,정상
오스트레일리아,유학연수,245,19.02857142857143,23.714732226828197,0,119,8,3.2653061224489797,1.2462697116201005,좋음,정상
요르단,공용,245,2.012244897959184,6.674812966405913,0,76,119,48.57142857142857,3.3170977216418835,매우나쁨,높은_0값_비율
요르단,관광,245,66.55102040816327,50.74900516851384,0,300,5,2.0408163265306123,0.7625578820169205,좋음,정상
요르단,상용,245,112.06938775510204,60.54505910477476,0,311,1,0.40816326530612246,0.5402461842397136,좋음,정상
요르단,유학연수,245,4.106122448979592,5.213963289251864,0,26,56,22.857142857142858,1.269802192710444,좋음,정상
우즈베키스탄,공용,245,4.09795918367347,7.173393742519118,0,71,78,31.83673469387755,1.7504795487222946,좋음,정상
우즈베키스탄,관광,245,1021.2285714285714,1029.8512052321116,0,3668,2,0.8163265306122449,1.008443392639787,좋음,정상
우즈베키스탄,상용,245,453.18367346938777,293.3988412727985,0,1198,4,1.6326530612244898,0.6474170594599264,좋음,정상
우즈베키스탄,유학연수,245,255.96326530612245,459.2119616192637,0,2845,1,0.40816326530612246,1.7940541626942579,좋음,정상
우크라이나,공용,245,2.363265306122449,3.943592742704017,0,29,91,37.142857142857146,1.6687050465673303,좋음,정상
우크라이나,관광,245,453.41632653061225,166.35052778097128,60,844,0,0.0,0.3668825272654583,좋음,정상
우크라이나,상용,245,53.93061224489796,45.215776860324276,0,187,2,0.8163265306122449,0.8384065186391771,좋음,정상
우크라이나,유학연수,245,12.869387755102041,17.635171220259878,0,168,7,2.857142857142857,1.3703193621832128,좋음,정상
이라크,공용,245,3.783673469387755,7.856169835429013,0,60,115,46.93877551020408,2.076333991024928,매우나쁨,높은_0값_비율
이라크,관광,245,76.53877551020408,52.828786304711805,0,266,6,2.4489795918367347,0.6902225173130543,좋음,정상
