국적,목적,test_samples,mae_linear,mae_xgb
요르단,관광,46,26.3905865438615,2.3551276663075322
스페인,유학연수,46,27.06179744410705,1.6721947711447012
아르헨티나,기타,46,27.477060453024894,0.9759735646455184
독  일,상용,46,28.82608555428424,2.1826700127643086
스페인,기타,46,29.507971932571223,3.9462874039359717
스위스,기타,46,30.669635386699156,2.2963255592014478
나이지리아,관광,46,31.709675163605613,2.6189198735291543
필리핀,공용,46,32.18876627126184,2.043209925941799
미  국,상용,46,32.344549346090886,2.5103224878725796
몽  골,공용,46,32.822208585201906,1.7430876648944358
불가리아,기타,46,36.326330882091945,4.626334148904552
파키스탄,상용,46,36.39585795008129,3.8068676409514053
콜롬비아,기타,46,37.115158179059264,2.310694114021633
파키스탄,유학연수,46,38.06434448114472,2.5256447170091714
홍  콩,유학연수,46,39.34104977819049,2.1333402343418286
태  국,유학연수,46,41.172225371483066,2.6516192063041357
페  루,기타,46,41.94477010698718,3.1549025152040566
필리핀,유학연수,46,44.04196571698319,2.149682853532874
사우디아라비아,기타,46,44.503351018643386,4.530252207880435
인  도,유학연수,46,45.553835754364854,2.990103970403257
카자흐스탄,유학연수,46,50.52273236586338,2.7601145972376284
그리스,기타,46,50.57883296836828,5.475303649902344
독  일,유학연수,46,51.3388263123344,3.202729432479195
말레이시아,유학연수,46,51.815002645219685,4.072583364403767
홍  콩,기타,46,51.87603525352221,1.9925822797028914
대  만,기타,46,53.12402609329019,5.794633616571841
에콰도르,관광,46,54.32913479752167,2.9867039692142736
이집트,관광,46,55.083517334865896,3.8875429319298784
파키스탄,관광,46,56.659368639159034,3.922368718230206
페  루,관광,46,56.77210473812632,3.9719148355981577
대  만,상용,46,57.797490849685325,4.400131515834643
일  본,공용,46,58.8521681483745,3.380146192467731
싱가포르,상용,46,59.1403534922732,3.7888967679894487
브라질,기타,46,59.17929340302056,3.6869465371836787
우즈베키스탄,상용,46,59.725570062771496,5.527626141257908
방글라데시,유학연수,46,60.83697900388988,2.6636375810789024
뉴질랜드,기타,46,68.33256610721043,4.387304886527684
베트남,공용,46,70.32886513199452,4.28837565365045
러시아(연방),유학연수,46,71.53811573162179,5.323736522508704
인도네시아,유학연수,46,72.69648502255505,3.1136258166769277
루마니아,기타,46,72.69896658299999,7.923507027004076
아르헨티나,관광,46,72.72004718634187,7.279151316084292
미  국,유학연수,46,73.46156065381783,7.409504330676535
이  란,관광,46,77.56296983493766,3.344699579736461
스리랑카,관광,46,82.39911187532873,3.953273648801057
방글라데시,관광,46,82.72889790119619,9.849198465761932
폴란드,기타,46,84.35609853181495,5.784266596255095
