국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_Ensemble
그리스,관광,2022,10,4,가을,0,214,401,335.0,411.0,208.0,371.0,270.0,92.78846153846156,0,1,0,514.2397254394771,334.0160914077282,673.9976279913698,507.41781494619164
그리스,관광,2022,11,4,가을,0,215,410,401.0,377.0,140.0,382.0,292.5,192.8571428571429,0,1,0,464.9940795738678,328.95926621341704,624.8479354478858,472.9337604117236
그리스,관광,2022,12,4,겨울,0,216,435,410.0,335.0,214.0,415.3333333333333,310.9166666666667,103.27102803738318,0,1,1,345.89661895597806,281.50738998653287,490.6160082339442,372.6733390588184
그리스,관광,2023,1,1,겨울,0,217,310,435.0,401.0,188.0,385.0,321.0833333333333,64.8936170212766,0,1,1,377.49918450437076,257.31747119009367,459.0582997145943,364.6249851363529
그리스,관광,2023,2,1,겨울,0,218,283,310.0,410.0,138.0,342.6666666666667,333.1666666666667,105.07246376811594,0,1,1,366.5690025815982,269.58940385971147,418.6195457098075,351.5926507170391
그리스,관광,2023,3,1,봄,0,219,541,283.0,435.0,238.0,378.0,358.4166666666667,127.3109243697479,0,1,2,441.86436481448646,313.0029553031637,503.37914080373275,419.4154869737943
그리스,관광,2023,4,2,봄,0,220,637,541.0,310.0,204.0,487.0,394.5,212.2549019607843,0,1,2,468.1333351305312,311.52320218791806,502.8343515347181,427.49696295105576
그리스,관광,2023,5,2,봄,0,221,412,637.0,283.0,297.0,530.0,404.0833333333333,38.72053872053872,0,1,2,463.91832258440866,311.52320218791806,499.00922297272314,424.8169159150166
그리스,관광,2023,6,2,여름,0,222,395,412.0,541.0,297.0,481.3333333333333,412.25,32.996632996633,0,1,3,467.30020113463337,312.6109650490023,511.44524214303533,430.45213610889033
그리스,관광,2023,7,3,여름,0,223,476,395.0,637.0,411.0,427.6666666666667,417.6666666666667,15.815085158150852,0,1,3,474.95634470295244,312.6109650490023,534.041940222348,440.5364166581009
