국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,예측_Prophet,예측_SARIMAX,예측_ExponentialSmoothing,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_LSTM_CPU,예측_GRU_CPU,예측_DenseNN_CPU,예측_LSTM_GPU,예측_GRU_GPU,예측_BiLSTM_GPU,예측_평균,최고모델_예측
브라질,유학연수,2023,10,4,가을,0,226,10,25.0,34.0,6.0,49.66666666666666,35.0,66.66666666666666,22,3,0,7745.873789243419,7128.129131546949,5630.941558074914,97.75237158385649,30.64378587559094,26.9587298284515,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3315.066752231767,30.64378587559094
브라질,유학연수,2023,11,4,가을,0,227,26,10.0,114.0,12.0,20.33333333333333,36.16666666666666,116.66666666666669,22,3,0,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,16.9828307656169,20.15702119420987,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3312.5221891023043,16.9828307656169
브라질,유학연수,2023,12,4,겨울,0,228,24,26.0,25.0,16.0,20.0,36.833333333333336,50.0,22,3,1,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,16.9828307656169,22.083235606486955,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3312.682706969994,16.9828307656169
사우디아라비아,공용,2020,1,1,겨울,0,181,5,10.0,4.0,3.0,5.666666666666667,4.833333333333333,66.66666666666666,23,0,1,7745.873789243419,7128.129131546949,5630.941558074914,143.66427358184944,82.00328188525667,12.909446643291357,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3322.0019284669747,82.00328188525667
사우디아라비아,공용,2020,2,1,겨울,0,182,2,5.0,2.0,2.0,5.666666666666667,4.833333333333333,0.0,23,0,1,7745.873789243419,7128.129131546949,5630.941558074914,69.11795492368137,9.088845851298657,10.658187493546997,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3309.5259273134857,9.088845851298657
사우디아라비아,공용,2020,3,1,봄,1,183,1,2.0,10.0,1.0,2.6666666666666665,4.833333333333333,0.0,23,0,2,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,15.38402676313348,7.164352599376345,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.306233052528,15.38402676313348
사우디아라비아,공용,2020,5,2,봄,1,185,1,0.0,2.0,0.0,0.6666666666666666,4.416666666666667,inf,23,0,2,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,15.38402676313348,5.408133053581375,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.1598814237113,15.38402676313348
사우디아라비아,공용,2020,7,3,여름,1,187,1,0.0,0.0,5.0,0.6666666666666666,3.1666666666666665,-80.0,23,0,3,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.152952172880065,4.764546705746206,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.0036596788705,14.152952172880065
사우디아라비아,공용,2020,9,3,가을,1,189,1,0.0,0.0,2.0,0.6666666666666666,2.25,-50.0,23,0,0,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.152952172880065,4.395292631550523,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3310.9728885060213,14.152952172880065
사우디아라비아,공용,2020,10,4,가을,1,190,1,1.0,1.0,4.0,0.6666666666666666,2.0,-75.0,23,0,0,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.152952172880065,3.627334315947644,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3310.9088919797214,14.152952172880065
사우디아라비아,공용,2020,12,4,겨울,1,192,2,0.0,1.0,10.0,1.0,1.1666666666666667,-80.0,23,0,1,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,13.688142035311706,3.5327380268734845,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3310.8622747775007,13.688142035311706
사우디아라비아,공용,2021,2,1,겨울,1,194,1,0.0,0.0,2.0,1.0,0.6666666666666666,-50.0,23,0,1,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.152952172880065,3.610761943859864,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3310.9075109487144,14.152952172880065
사우디아라비아,공용,2021,3,1,봄,1,195,1,1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.0,23,0,2,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.152952172880065,3.6127818262603673,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3310.9076792722467,14.152952172880065
사우디아라비아,공용,2021,5,2,봄,1,197,1,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,23,0,2,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.152952172880065,3.581309621018248,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3310.905056588477,14.152952172880065
사우디아라비아,공용,2021,6,2,여름,1,198,1,1.0,1.0,0.0,0.6666666666666666,0.75,inf,23,0,3,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.152952172880065,3.498162990485463,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3310.8981277025996,14.152952172880065
사우디아라비아,공용,2021,7,3,여름,1,199,15,1.0,0.0,1.0,5.666666666666667,1.9166666666666667,1400.0,23,0,3,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.386871280937443,4.716988937599218,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.01918979053,14.386871280937443
사우디아라비아,공용,2021,8,3,여름,1,200,3,15.0,1.0,0.0,6.333333333333333,2.1666666666666665,inf,23,0,3,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.386871280937443,5.658038338032293,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.097610573899,14.386871280937443
사우디아라비아,공용,2021,9,3,가을,1,201,4,3.0,1.0,1.0,7.333333333333333,2.4166666666666665,300.0,23,0,0,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.386871280937443,5.09798015990881,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.050939059056,14.386871280937443
사우디아라비아,공용,2021,10,4,가을,1,202,31,4.0,15.0,1.0,12.666666666666666,4.916666666666667,3000.0,23,0,0,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,15.552716549678365,9.192975984131033,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.48934248347,15.552716549678365
사우디아라비아,공용,2021,11,4,가을,1,203,2,31.0,3.0,0.0,12.333333333333334,5.083333333333333,inf,23,0,0,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.24642961052104,9.680488370157798,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.421111270709,14.24642961052104
사우디아라비아,공용,2021,12,4,겨울,1,204,4,2.0,4.0,2.0,12.333333333333334,5.25,100.0,23,0,1,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.860977140688364,8.7239647513892,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.3926132633255,14.860977140688364
사우디아라비아,공용,2022,1,1,겨울,1,205,2,4.0,31.0,0.0,2.6666666666666665,5.416666666666667,inf,23,0,1,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.152952172880065,6.741189153435365,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.1683798828453,14.152952172880065
사우디아라비아,공용,2022,2,1,겨울,1,206,10,2.0,2.0,1.0,5.333333333333333,6.166666666666667,900.0,23,0,1,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.152952172880065,6.022357372064685,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.108477234398,14.152952172880065
사우디아라비아,공용,2022,3,1,봄,1,207,22,10.0,4.0,1.0,11.333333333333334,7.916666666666667,2100.0,23,0,2,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,15.325787278256719,9.735159469104113,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.5156136679325,15.325787278256719
사우디아라비아,공용,2022,4,2,봄,1,208,1,22.0,2.0,0.0,11.0,8.0,inf,23,0,2,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,15.325787278256719,11.023103162006196,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.6229423090067,15.325787278256719
사우디아라비아,공용,2022,5,2,봄,1,209,18,1.0,10.0,1.0,13.666666666666666,9.416666666666666,1700.0,23,0,2,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,15.552716549678365,10.221198917213957,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.575027727893,15.552716549678365
사우디아라비아,공용,2022,6,2,여름,1,210,4,18.0,22.0,1.0,7.666666666666667,9.666666666666666,300.0,23,0,3,7745.873789243419,7128.129131546949,5630.941558074914,87.68027777452232,14.758875021664803,8.376642298632584,2930.4532004830917,2473.024456521739,2076.879679951691,4023.914553140097,2950.605072463768,4665.624698067633,3311.355161215677,14.758875021664803
