국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,date,trend,lag_1,lag_3,lag_6,lag_12,ma_3,ma_6,ma_12,sin_month,cos_month,vs_lag12,vs_ma12,nat_mean,nat_std,pur_mean,pur_std,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_Weighted_Ensemble
베트남,관광,2022,11,4,가을,0,215,17191,21853.0,9221.0,492.0,16413.0,6136.583333333333,3394.1056910569105,19,1,0,2022-11-01,214,21853.0,9221.0,722.0,492.0,16413.0,11703.0,6136.583333333333,-0.5000000000000004,0.8660254037844384,34.870182555780936,2.8009395663331116,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,13466.848469266191,14898.400679681057,14414.170086163835,14271.709578690981
베트남,관광,2022,12,4,겨울,0,216,12203,17191.0,10195.0,976.0,17082.333333333332,7072.166666666667,1150.3073770491803,19,1,1,2022-12-01,215,17191.0,10195.0,4534.0,976.0,17082.333333333332,12981.166666666666,7072.166666666667,-2.4492935982947064e-16,1.0,12.490276356192426,1.7252527156624802,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,13466.848469266191,17364.743239396645,15745.125255170766,15557.513287583128
베트남,관광,2023,1,1,겨울,0,217,9424,12203.0,21853.0,615.0,12939.333333333334,7806.25,1432.357723577236,19,1,1,2023-01-01,216,12203.0,21853.0,7224.0,615.0,12939.333333333334,13347.833333333334,7806.25,0.49999999999999994,0.8660254037844387,15.2987012987013,1.2070831598834417,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,7976.120217884498,11779.76240198771,12348.836732965596,10736.09318216575
베트남,관광,2023,2,1,겨울,0,218,6377,9424.0,17191.0,279.0,9334.666666666666,8314.416666666666,2185.663082437276,19,1,1,2023-02-01,217,9424.0,17191.0,9221.0,279.0,9334.666666666666,12873.833333333334,8314.416666666666,0.8660254037844386,0.5000000000000001,22.775,0.7668888109435287,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,6124.443188607673,8801.399104169845,8956.473779293507,7984.684147835384
베트남,관광,2023,3,1,봄,0,219,18313,6377.0,12203.0,357.0,11371.333333333334,9810.75,5029.6918767507,19,1,2,2023-03-01,218,6377.0,12203.0,10195.0,357.0,11371.333333333334,14226.833333333334,9810.75,1.0,6.123233995736766e-17,51.1536312849162,1.8664356511325706,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,9866.017080316782,16673.697455559366,13566.652136562143,13424.139811113142
베트남,관광,2023,4,2,봄,0,220,28227,18313.0,9424.0,472.0,17639.0,12123.666666666666,5880.296610169491,19,1,2,2023-04-01,219,18313.0,9424.0,21853.0,472.0,17639.0,15289.166666666666,12123.666666666666,0.8660254037844387,-0.4999999999999998,59.676532769556026,2.3280640017594987,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,15093.994381848903,23838.34472494721,18185.83863443964,19107.89927875806
베트남,관광,2023,5,2,봄,0,221,16793,28227.0,6377.0,722.0,21111.0,13462.916666666666,2225.9002770083102,19,1,2,2023-05-01,220,28227.0,6377.0,17191.0,722.0,21111.0,15222.833333333334,13462.916666666666,0.49999999999999994,-0.8660254037844387,23.2268326417704,1.2472596507950262,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,13215.053476901692,18566.897318940468,16759.608036528294,16225.024163971357
베트남,관광,2023,6,2,여름,0,222,21175,16793.0,18313.0,4534.0,22065.0,14849.666666666666,367.02690780767534,19,1,3,2023-06-01,221,16793.0,18313.0,12203.0,4534.0,22065.0,16718.166666666668,14849.666666666666,1.2246467991473532e-16,-1.0,4.669239250275634,1.4258619141677142,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,18624.431453437574,23458.493393387096,18305.02514624673,20164.025653875684
베트남,관광,2023,7,3,여름,0,223,23431,21175.0,28227.0,7224.0,20466.33333333333,16200.25,224.3493909191584,19,1,3,2023-07-01,222,21175.0,28227.0,9424.0,7224.0,20466.333333333332,19052.666666666668,16200.25,-0.4999999999999997,-0.8660254037844388,3.243044982698962,1.4462464316024999,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,15490.463277313293,23200.055991584533,17755.28778306878,18874.95001515805
베트남,관광,2023,8,3,여름,0,224,20534,23431.0,16793.0,9221.0,21713.33333333333,17143.0,122.68734410584536,19,1,3,2023-08-01,223,23431.0,16793.0,6377.0,9221.0,21713.333333333332,21412.166666666668,17143.0,-0.8660254037844385,-0.5000000000000004,2.2266319670353503,1.197736817545497,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,18488.789636221853,20437.17038416719,18962.525647214974,19311.09078199921
베트남,관광,2023,9,3,가을,0,225,21688,20534.0,21175.0,10195.0,21884.33333333333,18100.75,112.73173124080432,19,1,0,2023-09-01,224,20534.0,21175.0,18313.0,10195.0,21884.333333333332,21974.666666666668,18100.75,-1.0,-1.8369701987210297e-16,2.127108670066693,1.1981162042343971,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,20041.980993448808,22199.477970236232,20216.50645526695,20835.307200342995
베트남,관광,2023,10,4,가을,0,226,32644,21688.0,23431.0,21853.0,24955.33333333333,19000.0,49.37994783324944,19,1,0,2023-10-01,225,21688.0,23431.0,28227.0,21853.0,24955.333333333332,22710.833333333332,19000.0,-0.8660254037844386,0.5000000000000001,1.4937311247368903,1.7180148413241407,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,24331.743811334127,32938.461982662986,29949.56470899469,29144.69952439986
베트남,관광,2023,11,4,가을,0,227,26368,32644.0,20534.0,17191.0,26900.0,19764.75,53.382583910185566,19,1,0,2023-11-01,226,32644.0,20534.0,16793.0,17191.0,26900.0,24306.666666666668,19764.75,-0.5000000000000004,0.8660254037844384,1.5337366216845045,1.3340247650607744,2898.3802672147995,6763.337496066618,10891.25741769408,43095.18402964217,20722.599661246757,28425.304949931382,26621.95712926887,25321.918205576687
